2025-12-06 21:32:19,226 - INFO - total=35.07 ms | inference=0.61 ms | db=8.85 ms
2025-12-06 21:32:19,607 - INFO - total=27.84 ms | inference=0.60 ms | db=11.96 ms
2025-12-06 21:32:20,271 - INFO - total=29.63 ms | inference=0.71 ms | db=9.34 ms
2025-12-06 21:32:20,662 - INFO - total=29.83 ms | inference=0.58 ms | db=8.01 ms
2025-12-06 21:32:21,348 - INFO - total=34.72 ms | inference=0.74 ms | db=11.99 ms
2025-12-06 21:32:21,771 - INFO - total=30.29 ms | inference=0.67 ms | db=9.17 ms
2025-12-06 21:32:39,851 - INFO - total=33.82 ms | inference=0.56 ms | db=7.67 ms
2025-12-06 21:32:40,974 - INFO - total=43.29 ms | inference=0.61 ms | db=8.13 ms
2025-12-06 21:32:41,638 - INFO - total=34.58 ms | inference=0.56 ms | db=7.74 ms
2025-12-06 21:32:42,433 - INFO - total=40.51 ms | inference=1.27 ms | db=15.18 ms
2025-12-06 21:32:44,749 - INFO - total=36.31 ms | inference=2.39 ms | db=9.08 ms
2025-12-06 21:32:45,825 - INFO - total=36.02 ms | inference=0.59 ms | db=8.40 ms
2025-12-06 21:32:46,588 - INFO - total=302.80 ms | inference=0.91 ms | db=261.11 ms
2025-12-06 21:32:47,151 - INFO - total=37.00 ms | inference=0.55 ms | db=7.99 ms
2025-12-06 21:32:47,941 - INFO - total=46.25 ms | inference=0.72 ms | db=10.40 ms
2025-12-06 21:32:48,449 - INFO - total=35.62 ms | inference=0.62 ms | db=8.11 ms
2025-12-06 21:32:49,243 - INFO - total=52.41 ms | inference=0.75 ms | db=12.73 ms
2025-12-06 21:32:50,102 - INFO - total=37.24 ms | inference=1.00 ms | db=12.36 ms
2025-12-06 21:32:50,638 - INFO - total=51.81 ms | inference=0.74 ms | db=14.10 ms
2025-12-06 21:32:51,488 - INFO - total=35.98 ms | inference=0.67 ms | db=9.63 ms
2025-12-06 21:32:52,242 - INFO - total=49.75 ms | inference=0.71 ms | db=11.92 ms
2025-12-06 21:32:52,767 - INFO - total=38.41 ms | inference=0.75 ms | db=7.61 ms
2025-12-06 21:32:53,574 - INFO - total=35.26 ms | inference=0.59 ms | db=8.59 ms
2025-12-06 21:32:54,416 - INFO - total=42.75 ms | inference=0.54 ms | db=8.09 ms
2025-12-06 21:32:54,940 - INFO - total=27.14 ms | inference=0.60 ms | db=8.08 ms
2025-12-06 21:32:55,717 - INFO - total=36.33 ms | inference=0.78 ms | db=9.50 ms
2025-12-06 21:32:56,507 - INFO - total=37.94 ms | inference=0.62 ms | db=8.22 ms
2025-12-06 21:33:04,248 - INFO - total=31.91 ms | inference=1.03 ms | db=17.05 ms
2025-12-06 21:33:05,498 - INFO - total=34.44 ms | inference=0.97 ms | db=9.06 ms
2025-12-06 21:33:06,069 - INFO - total=33.62 ms | inference=1.71 ms | db=17.99 ms
2025-12-06 21:33:06,896 - INFO - total=44.56 ms | inference=1.01 ms | db=11.22 ms
2025-12-06 21:33:07,782 - INFO - total=32.24 ms | inference=1.47 ms | db=17.29 ms
2025-12-06 21:33:08,783 - INFO - total=32.69 ms | inference=0.91 ms | db=11.29 ms
2025-12-06 21:33:09,512 - INFO - total=51.54 ms | inference=0.58 ms | db=8.52 ms
2025-12-06 21:33:10,378 - INFO - total=35.50 ms | inference=0.80 ms | db=7.74 ms
2025-12-06 21:33:11,258 - INFO - total=36.47 ms | inference=0.57 ms | db=8.76 ms
2025-12-06 21:33:12,170 - INFO - total=44.10 ms | inference=0.78 ms | db=12.40 ms
2025-12-06 21:33:17,285 - INFO - total=34.56 ms | inference=0.63 ms | db=8.79 ms
2025-12-06 21:33:18,662 - INFO - total=33.72 ms | inference=0.57 ms | db=8.21 ms
2025-12-06 21:33:19,545 - INFO - total=41.19 ms | inference=0.97 ms | db=25.52 ms
2025-12-06 21:33:20,552 - INFO - total=35.69 ms | inference=0.68 ms | db=8.76 ms
2025-12-06 21:33:21,608 - INFO - total=51.97 ms | inference=0.71 ms | db=12.33 ms
2025-12-06 21:33:22,663 - INFO - total=34.60 ms | inference=1.76 ms | db=8.59 ms
2025-12-06 21:33:23,707 - INFO - total=42.87 ms | inference=1.10 ms | db=11.14 ms
2025-12-06 21:33:24,724 - INFO - total=46.37 ms | inference=1.10 ms | db=9.97 ms
2025-12-08 11:50:19,742 - INFO - total=68.30 ms | inference=12.66 ms | db=16.03 ms
2025-12-08 11:52:43,498 - INFO - total=34.18 ms | inference=1.01 ms | db=11.16 ms
2025-12-08 11:56:30,437 - INFO - total=32.80 ms | inference=0.90 ms | db=11.66 ms
2025-12-08 12:01:40,001 - INFO - total=37.30 ms | inference=1.16 ms | db=12.05 ms
2025-12-08 12:02:28,559 - INFO - total=43.95 ms | inference=0.94 ms | db=11.60 ms
2025-12-08 12:02:51,157 - INFO - total=42.01 ms | inference=0.97 ms | db=10.28 ms
2025-12-08 12:03:05,072 - INFO - total=39.00 ms | inference=0.90 ms | db=12.29 ms
2025-12-08 12:06:09,033 - INFO - total=31.72 ms | inference=0.86 ms | db=9.75 ms
2025-12-08 19:33:45,604 - INFO - total=45.30 ms | inference=0.99 ms | db=12.61 ms
2025-12-08 19:47:49,544 - INFO - total=28.49 ms | inference=0.65 ms | db=8.14 ms
2025-12-08 19:48:41,743 - INFO - total=33.61 ms | inference=0.55 ms | db=10.70 ms
2025-12-08 19:51:06,240 - INFO - total=29.95 ms | inference=0.56 ms | db=9.34 ms
2025-12-08 19:51:10,203 - INFO - total=24.77 ms | inference=0.52 ms | db=7.27 ms
